"filename", "language", "Dart", "comment", "blank", "total"
"d:\ALLy\ally\lib\background_location_service.dart", "Dart", 183, 12, 28, 223
"d:\ALLy\ally\lib\history_screen.dart", "Dart", 741, 4, 37, 782
"d:\ALLy\ally\lib\login_screen.dart", "Dart", 499, 2, 40, 541
"d:\ALLy\ally\lib\login_service.dart", "Dart", 352, 23, 47, 422
"d:\ALLy\ally\lib\main.dart", "Dart", 65, 9, 7, 81
"d:\ALLy\ally\lib\map_handlers\absence_reason_dialog.dart", "Dart", 318, 9, 26, 353
"d:\ALLy\ally\lib\map_handlers\attendance_service.dart", "Dart", 295, 22, 39, 356
"d:\ALLy\ally\lib\map_handlers\building_model.dart", "Dart", 71, 3, 7, 81
"d:\ALLy\ally\lib\map_handlers\history_entry.dart", "Dart", 49, 0, 5, 54
"d:\ALLy\ally\lib\map_handlers\history_service.dart", "Dart", 81, 3, 10, 94
"d:\ALLy\ally\lib\map_handlers\map_animations.dart", "Dart", 84, 0, 14, 98
"d:\ALLy\ally\lib\map_handlers\map_service.dart", "Dart", 171, 21, 15, 207
"d:\ALLy\ally\lib\map_handlers\planned_absence_dialog.dart", "Dart", 202, 4, 16, 222
"d:\ALLy\ally\lib\map_handlers\student_info_modal.dart", "Dart", 602, 9, 29, 640
"d:\ALLy\ally\lib\map_handlers\student_model.dart", "Dart", 176, 13, 29, 218
"d:\ALLy\ally\lib\map_handlers\teacher_assignment_service.dart", "Dart", 56, 8, 8, 72
"d:\ALLy\ally\lib\map_screen.dart", "Dart", 2082, 113, 127, 2322
"d:\ALLy\ally\lib\notification_service.dart", "Dart", 82, 4, 18, 104
"d:\ALLy\ally\lib\offline_location_queue.dart", "Dart", 109, 8, 13, 130
"d:\ALLy\ally\lib\profile_page.dart", "Dart", 1450, 39, 77, 1566
"Total", "-", 7668, 306, 592, 8566
